State,Postcode,No_Individuals,Total_Taxable_$,Total_Donation_$
VIC,3000,24559,1464326212,22238345
VIC,3001,240,47123000,448199
VIC,3002,3709,687786435,10504914
VIC,3003,4520,277885391,843049
VIC,3004,8178,976363798,8405898
VIC,3006,13887,956190677,3830831
VIC,3008,10062,669936008,1668888
VIC,3010,54,5878276,9327
VIC,3011,14557,824977977,1976155
VIC,3012,16466,947361711,1899556
VIC,3013,9623,733045607,1833501
VIC,3015,11189,852535531,1717813
VIC,3016,10120,887402821,2630321
VIC,3018,8001,533119732,1021965
VIC,3019,4705,207298806,377164
VIC,3020,23863,1076365564,2368898
VIC,3021,26851,1133750778,2469521
VIC,3022,1972,96507382,190249
VIC,3023,34441,1846974309,3913820
VIC,3024,14339,762442629,1929167
VIC,3025,6341,376933746,728551
VIC,3026,543,34422834,39315
VIC,3027,5056,295297879,568527
VIC,3028,16906,895714389,1693888
VIC,3029,59381,2983769054,6720867
VIC,3030,63270,3665382383,7880282
VIC,3031,11724,803446155,2311934
VIC,3032,19428,1299121478,3516835
VIC,3033,8382,516549010,843057
VIC,3034,6596,390594197,865379
VIC,3036,3961,270551765,585265
VIC,3037,28861,1568610451,2864889
VIC,3038,17028,953908052,1682040
VIC,3039,9630,745165595,2226825
VIC,3040,17846,1401032124,3516440
VIC,3041,8177,589820316,1351450
VIC,3042,9844,606425176,1173283
VIC,3043,10178,546843949,1167311
VIC,3044,16728,1057530281,3527703
VIC,3046,20288,1049753373,1987634
VIC,3047,8665,338916932,994418
VIC,3048,7121,287009638,846861
VIC,3049,5663,313741428,586293
VIC,3051,8811,540399366,2116739
VIC,3052,3806,241373558,1642866
VIC,3053,8386,484461632,2988524
VIC,3054,6046,487699531,16912549
VIC,3055,9452,580341669,2189146
VIC,3056,17759,1120459566,3657902
VIC,3057,8816,565977755,3292969
VIC,3058,21729,1288871535,3231163
VIC,3059,10852,650809342,1335072
VIC,3060,7034,328966577,810637
VIC,3061,2293,99909078,196377
VIC,3062,126,10118047,53875
VIC,3063,373,21344630,56056
VIC,3064,44238,2165342351,5345772
VIC,3065,7070,566294013,3735478
VIC,3066,6031,422050952,1216243
VIC,3067,6411,459325631,1417763
VIC,3068,12829,1097171789,6968140
VIC,3070,16541,1229863734,4969678
VIC,3071,12007,773950005,3023317
VIC,3072,20432,1172013626,2568376
VIC,3073,28047,1424467590,2591807
VIC,3074,10296,462882487,814237
VIC,3075,11211,524599022,900631
VIC,3076,18112,891676592,1906292
VIC,3078,7582,600569467,2998427
VIC,3079,11272,1009178494,5647644
VIC,3081,7517,389252978,945481
VIC,3082,17721,913483025,1810285
VIC,3083,18297,918597648,1742106
VIC,3084,16607,1193496205,3563484
VIC,3085,8360,531773592,1622623
VIC,3086,69,5309270,21478
VIC,3087,5300,308177718,594192
VIC,3088,16976,1024914384,2537765
VIC,3089,7851,532681488,877546
VIC,3090,1688,155354898,222893
VIC,3091,1119,90483011,157160
VIC,3093,2496,213248101,737364
VIC,3094,5596,349073314,924103
VIC,3095,18544,1310055225,3575352
VIC,3096,1221,73475793,125543
VIC,3097,978,73934490,134826
VIC,3099,3098,191916920,352812
VIC,3101,16975,1772175594,14266298
VIC,3102,4360,362888801,4391383
VIC,3103,10521,906051794,4869210
VIC,3104,13541,1089162422,6713333
VIC,3105,6762,419736817,888185
VIC,3106,10856,825386772,2038075
VIC,3107,8145,490252872,1374398
VIC,3108,13995,799348462,2399760
VIC,3109,17771,983885730,2504089
VIC,3111,7878,560203682,2235575
