ABN,Charity_Legal_Name,State,Postcode,Charity_Size,Operates_in_VIC,PBI,Preventing_or_relieving_suffering_of_animals,Advancing_Culture,Advancing_Education,Advancing_Health,Promote_or_oppose_a_change_to_law__government_poll_or_prac,Advancing_natual_environment,Promoting_or_protecting_human_rights,Purposes_beneficial_to_ther_general_public_and_other_analogous,Promoting_reconciliation__mutual_respect_and_tolerance,Advancing_Religion,Advancing_social_or_public_welfare,Advancing_security_or_safety_of_Australia_or_Australian_public,Aboriginal_or_TSI,Adults,Aged_Persons,Children,Communities_Overseas,Early_Childhood,Ethnic_Groups,Families,Females,Financially_Disadvantaged,Gay_Lesbian_Bisexual,General_Community_in_Australia,Males,Migrants_Refugees_or_Asylum_Seekers,Other_Beneficiaries,Other_Charities,People_at_risk_of_homelessness,People_with_Chronic_Illness,People_with_Disabilities,Pre_Post_Release_Offenders,Rural_Regional_Remote_Communities,Unemployed_Person,Veterans_or_their_families,Victims_of_crime,Victims_of_Disasters,Youth
11003429338,ISCAST LTD,VIC,3131,Small,Y,,,,Y,,,,,Y,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11004285956,Australian Nurses Memorial Centre,VIC,3004,Small,Y,,,,Y,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,
11005151771,Braemar College Limited,VIC,3442,Large,Y,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y
11005583960,Odyssey House Victoria,VIC,3121,Large,Y,Y,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
11007434362,Alphington Grammar School,VIC,3078,Large,Y,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,Y,,,,,Y,,
11010805927,Victorian Brumby Association Inc,VIC,3469,Small,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11019639609,Denzil Don Kindergarten Inc,VIC,3055,Medium,Y,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,
11036231838,The Trustee For The Foundation For Imaging Research,VIC,3008,Medium,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,
11037728335,Mitchell House Inc,VIC,3840,Large,Y,Y,,,,,,,,,,,,,,,Y,,,,,Y,Y,,,Y,Y,,Y,,,Y,Y,,Y,,Y,,,
11062802797,Community Housing Limited,VIC,3128,Large,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11076178673,Dolphin Common Equity Rental Housing Co-Operative Ltd,VIC,3199,Small,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11083080403,Volunteer Fire Brigades Victoria Inc,VIC,3151,Large,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11091816085,Friends Of The Helmeted Honeyeater Inc,VIC,3139,Medium,Y,,,,,,,Y,,Y,,,,,,Y,Y,Y,,,,Y,,,,Y,,,,,,,,,,,,,,Y
11092150879,Nyahwest Uniting Church Council,VIC,3591,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11115225986,Cultural Infusion Foundation Ltd,VIC,3067,Medium,Y,,,,,,,,,,,,,,Y,,,,Y,,Y,,,,,,,,,,,,,,Y,,,,,
11128866419,Australian Community Philanthropy Ltd,VIC,8002,Medium,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,
11129013305,Nafsika Stamoulis Hellenic Museum Limited,VIC,3000,Large,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11129790467,Doxa Community Club Incorporated,VIC,3003,Large,Y,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,
11130433288,Hands On Learning Australia,VIC,3053,Small,Y,Y,,,,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y
11131047268,MAS National Limited,VIC,3070,Large,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11131264926,St Stephens Anglican Church Greythorn,VIC,3104,Small,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
11141476364,Bundoora Extended Care Centre Preston Auxiliary,VIC,3072,Small,Y,,,,,Y,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,
11141727577,Short Black Opera Company Pty Ltd,VIC,3004,Medium,Y,,,Y,,,,,,,,,,,Y,Y,,Y,,,,,,,,,,,,,,,,,Y,,,,,Y
