Postcode,Area
3000,Metropolitan
3002,Metropolitan
3003,Metropolitan
3004,Metropolitan
3005,Metropolitan
3006,Metropolitan
3008,Metropolitan
3011,Metropolitan
3012,Metropolitan
3013,Metropolitan
3015,Metropolitan
3016,Metropolitan
3018,Metropolitan
3019,Metropolitan
3020,Metropolitan
3021,Metropolitan
3022,Metropolitan
3023,Metropolitan
3024,Metropolitan
3025,Metropolitan
3026,Metropolitan
3027,Metropolitan
3028,Metropolitan
3029,Metropolitan
3030,Metropolitan
3031,Metropolitan
3032,Metropolitan
3033,Metropolitan
3034,Metropolitan
3036,Metropolitan
3037,Metropolitan
3038,Metropolitan
3039,Metropolitan
3040,Metropolitan
3041,Metropolitan
3042,Metropolitan
3043,Metropolitan
3044,Metropolitan
3045,Metropolitan
3046,Metropolitan
3047,Metropolitan
3048,Metropolitan
3049,Metropolitan
3051,Metropolitan
3052,Metropolitan
3053,Metropolitan
3054,Metropolitan
3055,Metropolitan
3056,Metropolitan
3057,Metropolitan
3058,Metropolitan
3059,Metropolitan
3060,Metropolitan
3061,Metropolitan
3062,Metropolitan
3064,Metropolitan
3065,Metropolitan
3066,Metropolitan
3067,Metropolitan
3068,Metropolitan
3070,Metropolitan
3071,Metropolitan
3072,Metropolitan
3073,Metropolitan
3074,Metropolitan
3075,Metropolitan
3076,Metropolitan
3078,Metropolitan
3079,Metropolitan
3081,Metropolitan
3082,Metropolitan
3083,Metropolitan
3084,Metropolitan
3085,Metropolitan
3087,Metropolitan
3088,Metropolitan
3089,Metropolitan
3090,Metropolitan
3093,Metropolitan
3094,Metropolitan
3095,Metropolitan
3097,Regional
3098,Regional
3099,Regional
3101,Metropolitan
3102,Metropolitan
3103,Metropolitan
3104,Metropolitan
3105,Metropolitan
3106,Metropolitan
3107,Metropolitan
3108,Metropolitan
3109,Metropolitan
3111,Metropolitan
3114,Metropolitan
3116,Metropolitan
3121,Metropolitan
3122,Metropolitan
3123,Metropolitan
3124,Metropolitan
3125,Metropolitan
3126,Metropolitan
3127,Metropolitan
3128,Metropolitan
3129,Metropolitan
3130,Metropolitan
3131,Metropolitan
3132,Metropolitan
3133,Metropolitan
3134,Metropolitan
3135,Metropolitan
3136,Metropolitan
3137,Metropolitan
3138,Metropolitan
3139,Regional
3140,Metropolitan
3141,Metropolitan
3142,Metropolitan
3143,Metropolitan
3144,Metropolitan
3145,Metropolitan
3146,Metropolitan
3147,Metropolitan
3148,Metropolitan
3149,Metropolitan
3150,Metropolitan
3151,Metropolitan
3152,Metropolitan
3153,Metropolitan
3155,Metropolitan
3156,Metropolitan
3161,Metropolitan
3162,Metropolitan
3163,Metropolitan
3165,Metropolitan
3166,Metropolitan
3167,Metropolitan
3168,Metropolitan
3169,Metropolitan
3170,Metropolitan
3171,Metropolitan
3172,Metropolitan
3173,Metropolitan
3174,Metropolitan
3175,Metropolitan
3177,Metropolitan
3178,Metropolitan
3179,Metropolitan
3180,Metropolitan
3181,Metropolitan
3182,Metropolitan
3183,Metropolitan
3184,Metropolitan
3185,Metropolitan
3186,Metropolitan
3187,Metropolitan
3188,Metropolitan
3189,Metropolitan
3190,Metropolitan
3191,Metropolitan
3192,Metropolitan
3193,Metropolitan
3194,Metropolitan
3195,Metropolitan
3196,Metropolitan
3197,Metropolitan
3198,Metropolitan
3199,Metropolitan
3200,Metropolitan
3201,Metropolitan
3202,Metropolitan
