postcode,Suburb,state
3000,MELBOURNE,VIC
3001,MELBOURNE,VIC
3002,EAST MELBOURNE,VIC
3003,WEST MELBOURNE,VIC
3004,MELBOURNE,VIC
3005,WORLD TRADE CENTRE,VIC
3006,SOUTH WHARF,VIC
3008,DOCKLANDS,VIC
3010,UNIVERSITY OF MELBOURNE,VIC
3011,FOOTSCRAY,VIC
3012,BROOKLYN,VIC
3013,YARRAVILLE,VIC
3015,NEWPORT,VIC
3016,WILLIAMSTOWN,VIC
3018,ALTONA,VIC
3019,BRAYBROOK,VIC
3020,ALBION,VIC
3021,ALBANVALE,VIC
3022,ARDEER,VIC
3023,BURNSIDE,VIC
3024,FIELDSTONE,VIC
3025,ALTONA EAST,VIC
3026,LAVERTON NORTH,VIC
3027,LAVERTON RAAF,VIC
3028,ALTONA MEADOWS,VIC
3029,HOPPERS CROSSING,VIC
3030,CHARTWELL,VIC
3031,FLEMINGTON,VIC
3032,ASCOT VALE,VIC
3033,KEILOR EAST,VIC
3034,AVONDALE HEIGHTS,VIC
3036,KEILOR,VIC
3037,CALDER PARK,VIC
3038,KEILOR DOWNS,VIC
3039,MOONEE PONDS,VIC
3040,ABERFELDIE,VIC
3041,ESSENDON FIELDS,VIC
3042,AIRPORT WEST,VIC
3043,GLADSTONE PARK,VIC
3044,PASCOE VALE,VIC
3045,MELBOURNE AIRPORT,VIC
3046,GLENROY,VIC
3047,BROADMEADOWS,VIC
3048,COOLAROO,VIC
3049,ATTWOOD,VIC
3050,ROYAL MELBOURNE HOSPITAL,VIC
3051,HOTHAM HILL,VIC
3052,MELBOURNE UNIVERSITY,VIC
3053,CARLTON,VIC
3054,CARLTON NORTH,VIC
3055,BRUNSWICK SOUTH,VIC
3056,BRUNSWICK,VIC
3057,BRUNSWICK EAST,VIC
3058,BATMAN,VIC
3059,GREENVALE,VIC
3060,FAWKNER,VIC
3061,CAMPBELLFIELD,VIC
3062,SOMERTON,VIC
3063,OAKLANDS JUNCTION,VIC
3064,CRAIGIEBURN,VIC
3065,FITZROY,VIC
3066,COLLINGWOOD,VIC
3067,ABBOTSFORD,VIC
3068,CLIFTON HILL,VIC
3070,NORTHCOTE,VIC
3071,THORNBURY,VIC
3072,GILBERTON,VIC
3073,KEON PARK,VIC
3074,THOMASTOWN,VIC
3075,LALOR,VIC
3076,EPPING,VIC
3078,ALPHINGTON,VIC
3079,IVANHOE,VIC
3081,BELLFIELD,VIC
3082,MILL PARK,VIC
3083,BUNDOORA,VIC
3084,BANYULE,VIC
3085,MACLEOD,VIC
3086,LA TROBE UNIVERSITY,VIC
3087,WATSONIA,VIC
3088,BRIAR HILL,VIC
3089,DIAMOND CREEK,VIC
3090,PLENTY,VIC
3091,YARRAMBAT,VIC
3093,LOWER PLENTY,VIC
3094,MONTMORENCY,VIC
3095,ELTHAM,VIC
3096,WATTLE GLEN,VIC
3097,BEND OF ISLANDS,VIC
3099,ARTHURS CREEK,VIC
3101,COTHAM,VIC
3102,KEW EAST,VIC
3103,BALWYN,VIC
3104,BALWYN NORTH,VIC
3105,BULLEEN,VIC
3106,TEMPLESTOWE,VIC
3107,TEMPLESTOWE LOWER,VIC
3108,DONCASTER,VIC
3109,DONCASTER EAST,VIC
3111,DONVALE,VIC
3113,NORTH WARRANDYTE,VIC
3114,PARK ORCHARDS,VIC
3115,WONGA PARK,VIC
3116,CHIRNSIDE PARK,VIC
3121,BURNLEY,VIC
3122,AUBURN SOUTH,VIC
3123,AUBURN,VIC
3124,CAMBERWELL,VIC
3125,BENNETTSWOOD,VIC
3126,CAMBERWELL EAST,VIC
3127,MONT ALBERT,VIC
3128,BOX HILL,VIC
3129,BOX HILL NORTH,VIC
3130,BLACKBURN,VIC
3131,BRENTFORD SQUARE,VIC
3132,MITCHAM,VIC
3133,VERMONT,VIC
3134,HEATHWOOD,VIC
3135,BEDFORD ROAD,VIC
3136,CROYDON,VIC
3137,KILSYTH,VIC
3138,MOOROOLBARK,VIC
3139,BEENAK,VIC
3140,LILYDALE,VIC
3141,CHAPEL STREET NORTH,VIC
3142,HAWKSBURN,VIC
3143,ARMADALE,VIC
3144,KOOYONG,VIC
3145,CAULFIELD EAST,VIC
3146,GLEN IRIS,VIC
3147,ASHBURTON,VIC
3148,CHADSTONE,VIC
3149,MOUNT WAVERLEY,VIC
3150,BRANDON PARK,VIC
3151,BURWOOD EAST,VIC
3152,KNOX CITY CENTRE,VIC
3153,BAYSWATER,VIC
3154,THE BASIN,VIC
3155,BORONIA,VIC
3156,FERNTREE GULLY,VIC
3158,UPWEY,VIC
3159,MENZIES CREEK,VIC
3160,BELGRAVE,VIC
3161,CAULFIELD JUNCTION,VIC
3162,CAULFIELD,VIC
3163,BOORAN ROAD PO,VIC
3164,DANDENONG SOUTH,VIC
3165,BENTLEIGH EAST,VIC
3166,HUGHESDALE,VIC
3167,OAKLEIGH SOUTH,VIC
3168,CLAYTON,VIC
3169,CLARINDA,VIC
3170,MULGRAVE,VIC
3171,SANDOWN VILLAGE,VIC
3172,DINGLEY VILLAGE,VIC
3173,KEYSBOROUGH,VIC
3174,NOBLE PARK,VIC
3175,BANGHOLME,VIC
3176,SCORESBY BC,VIC
3177,DOVETON,VIC
3178,ROWVILLE,VIC
3179,SCORESBY,VIC
3180,KNOXFIELD,VIC
3181,PRAHRAN,VIC
3182,ST KILDA,VIC
3183,BALACLAVA,VIC
3184,BRIGHTON ROAD,VIC
3185,ELSTERNWICK,VIC
3186,BRIGHTON,VIC
3187,BRIGHTON EAST,VIC
3188,HAMPTON,VIC
3189,MOORABBIN,VIC
3190,HIGHETT,VIC
3191,SANDRINGHAM,VIC
3192,CHELTENHAM,VIC
3193,BEAUMARIS,VIC
3194,MENTONE,VIC
3195,ASPENDALE,VIC
3196,BONBEACH,VIC
3197,CARRUM,VIC
3198,BELVEDERE PARK,VIC
3199,FRANKSTON,VIC
3200,FRANKSTON NORTH,VIC
3201,CARRUM DOWNS,VIC
3202,HEATHERTON,VIC
3204,BENTLEIGH,VIC
3205,SOUTH MELBOURNE,VIC
3206,ALBERT PARK,VIC
3207,GARDEN CITY,VIC
3211,LITTLE RIVER,VIC
3212,AVALON,VIC
3213,ANAKIE,VIC
3214,CORIO,VIC
3215,BELL PARK,VIC
3216,BELMONT,VIC
3217,ARMSTRONG CREEK,VIC
3218,FYANSFORD,VIC
3219,BREAKWATER,VIC
3220,BAREENA,VIC
3221,ANAKIE,VIC
3222,CLIFTON SPRINGS,VIC
3223,BELLARINE,VIC
3224,LEOPOLD,VIC
