postcode,Suburb,state
3000,MELBOURNE,VIC
3001,MELBOURNE,VIC
3002,EAST MELBOURNE,VIC
3003,WEST MELBOURNE,VIC
3004,MELBOURNE,VIC
3004,ST KILDA ROAD CENTRAL,VIC
3004,ST KILDA ROAD MELBOURNE,VIC
3005,WORLD TRADE CENTRE,VIC
3006,SOUTH WHARF,VIC
3006,SOUTHBANK,VIC
3008,DOCKLANDS,VIC
3010,UNIVERSITY OF MELBOURNE,VIC
3011,FOOTSCRAY,VIC
3011,SEDDON,VIC
3011,SEDDON WEST,VIC
3012,BROOKLYN,VIC
3012,KINGSVILLE,VIC
3012,KINGSVILLE WEST,VIC
3012,MAIDSTONE,VIC
3012,TOTTENHAM,VIC
3012,WEST FOOTSCRAY,VIC
3013,YARRAVILLE,VIC
3013,YARRAVILLE WEST,VIC
3015,NEWPORT,VIC
3015,SOUTH KINGSVILLE,VIC
3015,SPOTSWOOD,VIC
3016,WILLIAMSTOWN,VIC
3016,WILLIAMSTOWN NORTH,VIC
3018,ALTONA,VIC
3018,SEAHOLME,VIC
3019,BRAYBROOK,VIC
3019,BRAYBROOK NORTH,VIC
3019,ROBINSON,VIC
3020,ALBION,VIC
3020,GLENGALA,VIC
3020,SUNSHINE,VIC
3020,SUNSHINE NORTH,VIC
3020,SUNSHINE WEST,VIC
3021,ALBANVALE,VIC
3021,KEALBA,VIC
3021,KINGS PARK,VIC
3021,ST ALBANS,VIC
3022,ARDEER,VIC
3022,DEER PARK EAST,VIC
3023,BURNSIDE,VIC
3023,BURNSIDE HEIGHTS,VIC
3023,CAIRNLEA,VIC
3023,CAROLINE SPRINGS,VIC
3023,DEER PARK,VIC
3023,DEER PARK NORTH,VIC
3023,RAVENHALL,VIC
3024,FIELDSTONE,VIC
3024,MAMBOURIN,VIC
3024,MANOR LAKES,VIC
3024,MOUNT COTTRELL,VIC
3024,WYNDHAM VALE,VIC
3025,ALTONA EAST,VIC
3025,ALTONA GATE,VIC
3025,ALTONA NORTH,VIC
3026,LAVERTON NORTH,VIC
3027,LAVERTON RAAF,VIC
3027,WILLIAMS LANDING,VIC
3027,WILLIAMS RAAF,VIC
3028,ALTONA MEADOWS,VIC
3028,LAVERTON,VIC
3028,SEABROOK,VIC
3029,HOPPERS CROSSING,VIC
3029,TARNEIT,VIC
3029,TRUGANINA,VIC
3030,CHARTWELL,VIC
3030,COCOROC,VIC
3030,DERRIMUT,VIC
3030,POINT COOK,VIC
3030,QUANDONG,VIC
3030,WERRIBEE,VIC
3030,WERRIBEE SOUTH,VIC
3031,FLEMINGTON,VIC
3031,KENSINGTON,VIC
3032,ASCOT VALE,VIC
3032,HIGHPOINT CITY,VIC
3032,MARIBYRNONG,VIC
3032,TRAVANCORE,VIC
3033,KEILOR EAST,VIC
3034,AVONDALE HEIGHTS,VIC
3036,KEILOR,VIC
3036,KEILOR NORTH,VIC
3037,CALDER PARK,VIC
3037,DELAHEY,VIC
3037,HILLSIDE,VIC
3037,PLUMPTON,VIC
3037,SYDENHAM,VIC
3037,TAYLORS HILL,VIC
3038,KEILOR DOWNS,VIC
3038,KEILOR LODGE,VIC
3038,TAYLORS LAKES,VIC
3038,WATERGARDENS,VIC
3039,MOONEE PONDS,VIC
3040,ABERFELDIE,VIC
3040,ESSENDON,VIC
3040,ESSENDON WEST,VIC
3041,ESSENDON FIELDS,VIC
3041,ESSENDON NORTH,VIC
3041,STRATHMORE,VIC
3041,STRATHMORE HEIGHTS,VIC
3042,AIRPORT WEST,VIC
3042,KEILOR PARK,VIC
3042,NIDDRIE,VIC
3042,NIDDRIE NORTH,VIC
3043,GLADSTONE PARK,VIC
3043,GOWANBRAE,VIC
3043,TULLAMARINE,VIC
3044,PASCOE VALE,VIC
3044,PASCOE VALE SOUTH,VIC
3045,MELBOURNE AIRPORT,VIC
3046,GLENROY,VIC
3046,HADFIELD,VIC
3046,OAK PARK,VIC
3047,BROADMEADOWS,VIC
3047,DALLAS,VIC
3047,JACANA,VIC
3048,COOLAROO,VIC
3048,MEADOW HEIGHTS,VIC
3049,ATTWOOD,VIC
3049,WESTMEADOWS,VIC
3050,ROYAL MELBOURNE HOSPITAL,VIC
3051,HOTHAM HILL,VIC
3051,NORTH MELBOURNE,VIC
3052,MELBOURNE UNIVERSITY,VIC
3052,PARKVILLE,VIC
3053,CARLTON,VIC
3053,CARLTON SOUTH,VIC
3054,CARLTON NORTH,VIC
3054,PRINCES HILL,VIC
3055,BRUNSWICK SOUTH,VIC
3055,BRUNSWICK WEST,VIC
3055,MOONEE VALE,VIC
3055,MORELAND WEST,VIC
3056,BRUNSWICK,VIC
3056,BRUNSWICK LOWER,VIC
3056,BRUNSWICK NORTH,VIC
3057,BRUNSWICK EAST,VIC
3057,LYGON STREET NORTH,VIC
3057,SUMNER,VIC
3058,BATMAN,VIC
3058,COBURG,VIC
3058,COBURG NORTH,VIC
3058,MERLYNSTON,VIC
3058,MORELAND,VIC
3059,GREENVALE,VIC
3060,FAWKNER,VIC
3060,FAWKNER EAST,VIC
3060,FAWKNER NORTH,VIC
3061,CAMPBELLFIELD,VIC
3062,SOMERTON,VIC
3063,OAKLANDS JUNCTION,VIC
3063,YUROKE,VIC
3064,CRAIGIEBURN,VIC
3064,DONNYBROOK,VIC
3064,KALKALLO,VIC
3064,MICKLEHAM,VIC
3064,ROXBURGH PARK,VIC
3065,FITZROY,VIC
3066,COLLINGWOOD,VIC
3066,COLLINGWOOD NORTH,VIC
3067,ABBOTSFORD,VIC
3068,CLIFTON HILL,VIC
3068,FITZROY NORTH,VIC
3070,NORTHCOTE,VIC
3070,NORTHCOTE SOUTH,VIC
3071,THORNBURY,VIC
3072,GILBERTON,VIC
3072,NORTHLAND CENTRE,VIC
3072,PRESTON,VIC
3072,PRESTON LOWER,VIC
3072,PRESTON SOUTH,VIC
3072,PRESTON WEST,VIC
3072,REGENT WEST,VIC
3072,SYLVESTER,VIC
3073,KEON PARK,VIC
3073,RESERVOIR,VIC
3073,RESERVOIR EAST,VIC
3073,RESERVOIR NORTH,VIC
3073,RESERVOIR SOUTH,VIC
3074,THOMASTOWN,VIC
3075,LALOR,VIC
3075,LALOR PLAZA,VIC
3076,EPPING,VIC
3076,EPPING DC,VIC
3078,ALPHINGTON,VIC
3078,FAIRFIELD,VIC
3079,IVANHOE,VIC
3079,IVANHOE EAST,VIC
3079,IVANHOE NORTH,VIC
3081,BELLFIELD,VIC
3081,HEIDELBERG HEIGHTS,VIC
3081,HEIDELBERG RGH,VIC
